seq_type,study,filename
unpaired,Eliyahu_2018,ERR2843400_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843418_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843418_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843403_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843421_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843416_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843392_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843414_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843405_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843386_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843422_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843392_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843396_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843421_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843398_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843415_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843403_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843399_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843404_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843392_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843399_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843390_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843414_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843413_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843417_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843422_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843394_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843395_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843417_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843391_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843421_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843393_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843395_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843389_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843415_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843405_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843412_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843394_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843420_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843425_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843387_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843414_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843403_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843414_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843391_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843414_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843399_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843396_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843412_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843391_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843400_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843417_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843417_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843418_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843421_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843393_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843426_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843404_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843400_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843417_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843422_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843426_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843401_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843417_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843391_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843426_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843387_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843391_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843393_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843413_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843393_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843399_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843420_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843423_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843394_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843399_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843398_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843404_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843419_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843419_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843415_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843405_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843394_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843395_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843422_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843401_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843389_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843426_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843394_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843389_Heavy_IGHD
unpaired,Eliyahu_2018,ERR2843400_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843415_Heavy_IGHA
unpaired,Eliyahu_2018,ERR2843424_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843404_Heavy_IGHG
unpaired,Eliyahu_2018,ERR2843401_Heavy_IGHE
unpaired,Eliyahu_2018,ERR2843406_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843386_Heavy_IGHM
unpaired,Eliyahu_2018,ERR2843408_Heavy_Bulk
unpaired,Eliyahu_2018,ERR2843402_Heavy_IGHM
